User Perception,User Satisfaction,User Engagement
[18.555555555555557],[21.333333333333332],[22.555555555555557]
[19.88888888888889],[21.77777777777778],[22.77777777777778]
[3.0046260628866577],[3.4641016151377544],[2.650995620097811]
[4.166666666666667],[3.2317865716108862],[2.7284509239574835]
[0.08051623795726257],[0.4027592281495932],[0.6223833291543435]
